"scenario","year","variable","value","units","source"
"ssp119",1921,"gmst",0.178835101585812,"degC","V3.5.0"
"ssp119",1922,"gmst",0.180446070977144,"degC","V3.5.0"
"ssp119",1923,"gmst",0.179042318292947,"degC","V3.5.0"
"ssp119",1924,"gmst",0.186231731631096,"degC","V3.5.0"
"ssp119",1925,"gmst",0.193454470259241,"degC","V3.5.0"
"ssp119",1926,"gmst",0.199423234734042,"degC","V3.5.0"
"ssp119",1927,"gmst",0.202522690417752,"degC","V3.5.0"
"ssp119",1928,"gmst",0.203511981468892,"degC","V3.5.0"
"ssp119",1929,"gmst",0.188659825111763,"degC","V3.5.0"
"ssp119",1930,"gmst",0.193945591505708,"degC","V3.5.0"
"ssp119",1931,"gmst",0.207830632711738,"degC","V3.5.0"
"ssp119",1932,"gmst",0.209877388194467,"degC","V3.5.0"
"ssp119",1933,"gmst",0.219032302567577,"degC","V3.5.0"
"ssp119",1934,"gmst",0.227919089849165,"degC","V3.5.0"
"ssp119",1935,"gmst",0.233298827910799,"degC","V3.5.0"
"ssp119",1936,"gmst",0.235137067165445,"degC","V3.5.0"
"ssp119",1937,"gmst",0.235109432974622,"degC","V3.5.0"
"ssp119",1938,"gmst",0.239502357550073,"degC","V3.5.0"
"ssp119",1939,"gmst",0.241386350059684,"degC","V3.5.0"
"ssp119",1940,"gmst",0.240591552103319,"degC","V3.5.0"
"ssp119",1941,"gmst",0.239536436121171,"degC","V3.5.0"
"ssp119",1942,"gmst",0.238205420872562,"degC","V3.5.0"
"ssp119",1943,"gmst",0.238250102112794,"degC","V3.5.0"
"ssp119",1944,"gmst",0.240272928285329,"degC","V3.5.0"
"ssp119",1945,"gmst",0.248406803439774,"degC","V3.5.0"
"ssp119",1946,"gmst",0.257198735871709,"degC","V3.5.0"
"ssp119",1947,"gmst",0.260520774437722,"degC","V3.5.0"
"ssp119",1948,"gmst",0.261679081050117,"degC","V3.5.0"
"ssp119",1949,"gmst",0.264302502526437,"degC","V3.5.0"
"ssp119",1950,"gmst",0.262285413738442,"degC","V3.5.0"
"ssp119",1951,"gmst",0.261647155106326,"degC","V3.5.0"
"ssp119",1952,"gmst",0.26159873744005,"degC","V3.5.0"
"ssp119",1953,"gmst",0.261782762630719,"degC","V3.5.0"
"ssp119",1954,"gmst",0.263689857786484,"degC","V3.5.0"
"ssp119",1955,"gmst",0.263216860014399,"degC","V3.5.0"
"ssp119",1956,"gmst",0.260096364087246,"degC","V3.5.0"
"ssp119",1957,"gmst",0.25634146494218,"degC","V3.5.0"
"ssp119",1958,"gmst",0.257134298887869,"degC","V3.5.0"
"ssp119",1959,"gmst",0.257877976654015,"degC","V3.5.0"
"ssp119",1960,"gmst",0.258359017912791,"degC","V3.5.0"
"ssp119",1961,"gmst",0.249608670252495,"degC","V3.5.0"
"ssp119",1962,"gmst",0.230117962449238,"degC","V3.5.0"
"ssp119",1963,"gmst",0.146234426189998,"degC","V3.5.0"
"ssp119",1964,"gmst",0.0861583217023587,"degC","V3.5.0"
"ssp119",1965,"gmst",0.0744917310514695,"degC","V3.5.0"
"ssp119",1966,"gmst",0.107350310695687,"degC","V3.5.0"
"ssp119",1967,"gmst",0.12043004512352,"degC","V3.5.0"
"ssp119",1968,"gmst",0.134543664413744,"degC","V3.5.0"
"ssp119",1969,"gmst",0.154992272630367,"degC","V3.5.0"
"ssp119",1970,"gmst",0.170556142419483,"degC","V3.5.0"
"ssp119",1971,"gmst",0.175815009746939,"degC","V3.5.0"
"ssp119",1972,"gmst",0.185952379143257,"degC","V3.5.0"
